unique_id,razon_social,clientes,year,empleados,sedes,Ventas en millones
1119698,PIZZERIA RESTAURANTE SALERNO HERMANOS,888,2024,86,5,3004.0779779647
1139228,AMOBLADOS MELENDEZ SOCIEDAD DE HECHO,954,2024,94,8,1287.42737788557
1143254,INVERSIONES VELAR,1312,2024,139,7,2152.55431718058
1150497,CESAR A OSORIO M & CIA,1014,2024,102,12,3762.79809515596
1173080,AMOBLADOS DORESKY,1026,2024,103,12,1583.36390860045
1207185,COLEGIO PORFIRIO BARBA JACOB,1343,2024,143,13,2912.26978924899
1241133,COLEGIO MIXTO PEDRO MORALES PINO,1092,2024,112,10,3188.13544611641
1249927,PQUIM LTDA.,747,2024,68,5,1796.80222339773
1253021,SALCHICHERIA CALI,863,2024,83,18,2750.88814858117
1258622,JAIRO E.CIFUENTES T. PROVALLE.,911,2024,89,7,2839.78921068783
1265164,ALVARO ECHEVERRY V Y CIA LTDA,1245,2024,131,10,2436.63051777973
1269518,INSTITUTO PEDAGOGICO EMANUEL,1072,2024,109,9,3807.93865898573
1274150,CORPORACION EDUCATIVA LICEO COMERCIAL LA MILAGROSA,1080,2024,110,8,754.390589228222
1278659,CENTRO EDUCATIVO HOMBRES DEL FUTURO,1022,2024,103,15,1586.06325073614
1280039,OLARSYSTEM LTDA,889,2024,86,14,2592.92943320141
1280822,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA - CALI,1357,2024,145,5,1743.56564893853
1285207,TRUST-ME,1100,2024,112,6,675.374132380987
1294301,J.C.T.  SAS,607,2024,51,6,3679.48929251152
1294806,EDITORA URBANA LTDA,1140,2024,118,10,3264.79316964698
1296213,DELTA CAICEDO & CIA S. EN C.,905,2024,88,11,3429.56838638258
1297966,FENIX PRODUCCION Y EVENTOS,786,2024,73,11,3519.49184443416
1301788,RAMSAI #1  CONFECCIONES kAM&CO,956,2024,95,10,3196.50619215229
1306276,TALLER C.F AUTOS,795,2024,74,12,1646.23750262202
1306334,EMGELEC SAS,854,2024,82,6,1198.10513443514
1306354,COLEGIO MIXTO FRANCISCO ELADIO RAMIREZ,875,2024,84,4,2825.49437431985
1311158,TRIANGEL,663,2024,58,8,1903.33374039563
1316252,PRODUCTORA Y COMERCIALIZADORA EL TREBOL,1168,2024,121,6,2765.1174818134
1328625,ASODISVALLE - INSTITUTO DE EDUCACION ESPECIAL,1031,2024,104,11,1166.00201442172
1332087,VARIEDADES EL PIBE.COM,772,2024,72,5,1564.82516949995
1338858,JOYERIA RICHARD,1251,2024,131,9,1773.60489510028
1339326,INVERSIONES PYRHON & CIA SEN C,1085,2024,111,7,1304.35461107955
1344042,ORGANIZACION EL TREBOL LTDA,941,2024,93,10,2058.9172365669
1347716,CENTRO DE EVENTOS & CONVENCIONES LAS PILAS,1179,2024,122,10,703.54010215238
1355702,DIAZ CASTRO CONSTRUCCIONES LTDA.,1176,2024,122,7,2141.01031868494
1356059,ORNAMENTO LTDA,1164,2024,121,11,2881.12531690134
1358433,IT SECURITY,1138,2024,117,9,1386.8604659637
1358449,ALMACEN ELECTRICOS DE OCCIDENTE,1111,2024,114,13,2731.52947459625
1358508,ASCENSORES SEAP,988,2024,98,11,2100.67958402185
1361749,CITY WOK,939,2024,92,9,2356.9698482433
1365235,HERNANDO ARDANI SERRANO CORREDOR S.A.S.,924,2024,90,11,2404.81076302886
1365849,MUEBLES TANCY,861,2024,83,9,1539.42720478545
1365865,DLT CONSULTORES,958,2024,95,9,1892.13978114469
1369873,PENSIONES PROSPERAR ABOGADOS,747,2024,68,2,503.380428652147
1370644,CORC S.A.S.,1434,2024,154,14,1579.97744389478
1371271,SUBWAY CIUDAD JARDIN,1242,2024,130,9,188.066473791026
1371694,ALIANZAS COMERCIALES EN SERVICIOS,775,2024,72,14,-659.449075027191
1372003,ASESORIA EN SERVICIOS TECNICOS DE ELECTRICIDAD Y GAS DE COLOMBIA S.A.S,919,2024,90,15,2986.61916951272
1372638,CENTRO EDUCATIVO ALFA Y OMEGA 1,907,2024,88,6,1098.28190110118
